인허가일자,상태코드,폐업일자,사업장명,구명,동명
20100609,2,20161213,뚜레쥬르청주사직캐슬점,서원구,사직동
20100617,2,20100907,브리앙뜨베이커리,흥덕구,복대동
20130510,2,20180105,Day Bread(데이브레드),서원구,성화동
20130816,2,20161228,디브유,상당구,용담동
20130830,2,20151224,달콤,서원구,사직동
20130917,2,20181112,파리바게뜨,상당구,용정동
20131007,2,20200526,케이크만들기단하나,상당구,북문로1가
20131010,2,20141023,레타블랑제리,청원구,율량동
20131209,2,20170227,흥興제과사무소,서원구,사직동
20140103,2,20170724,르쇼크(LeCHOC),서원구,산남동
20140117,2,20150803,김동구빵굼터,상당구,금천동
20140206,2,20180816,쿠키지인,흥덕구,가경동
20140211,2,20200518,더채운케이크,흥덕구,복대동
20060329,2,20060718,빵가마,흥덕구,가경동
20060726,2,20121207,파리바게뜨,흥덕구,가경동
20060801,2,20121205,파리바게트,흥덕구,가경동
20060810,2,20080204,라이스존,청원구,오창읍
20060929,2,20100607,그랜드제과,흥덕구,복대동
20061002,2,20081022,뚜레쥬르올리브점,청원구,오창읍
20061107,2,20120126,뚜레쥬르북문로점,상당구,북문로2가
20070125,2,20101005,브레드하임,상당구,탑동
20070131,2,20120125,뚜레쥬르청주수곡한마음점,서원구,수곡동
20070227,2,20080212,허니케잌&쿠키,서원구,분평동
20070315,2,20160512,쇼콜라떼,상당구,영운동
20201230,2,20210624,카페인중독용암점,상당구,용암동
20210208,2,20210218,팥고당(현대충청점),흥덕구,복대동
