인허가일자,상세영업상태코드,폐업일자,소재지전체주소,사업장명,업태구분명,구명,동명
20121031,1,,충청북도 청주시 흥덕구 비하동 811 외 2필지 롯데마트서청주점 내(1층),베이커리팩토리 서청주점,제과점영업,흥덕구,비하동
20161226,1,,충청북도 청주시 흥덕구 오송읍 만수리 529번지,경화베이커리,제과점영업,흥덕구,오송읍
20161226,1,,"충청북도 청주시 서원구 남이면 가마리 385 , 1층",뚜레쥬르청주가마지구점,제과점영업,서원구,남이면
20170113,1,,충청북도 청주시 서원구 미평동 123-1 이.마트 지하3층,(주)신세계푸드 E.Bakery(이베이커리) 청주점 1,제과점영업,서원구,미평동
20170120,1,,충청북도 청주시 청원구 오창읍 주성리 581,브레드99베이커리,제과점영업,청원구,오창읍
20170215,1,,충청북도 청주시 흥덕구 비하동 309-1번지 101호,선물같은오늘(비하점),제과점영업,흥덕구,비하동
20170306,1,,충청북도 청주시 흥덕구 봉명동 2030번지,좋은아침,제과점영업,흥덕구,봉명동
20170309,1,,충청북도 청주시 상당구 용정동 1190번지 1층,제과점446℉(Bakery446℉),제과점영업,상당구,용정동
19760221,1,,충청북도 청주시 상당구 서문동 166-3번지,서문우동,제과점영업,상당구,서문동
19960703,1,,충청북도 청주시 청원구 우암동 323-1번지,파리바게뜨,제과점영업,청원구,우암동
20120330,1,,충청북도 청주시 청원구 율량동 500-3 라마다지하1층,몽블랑제(주)동청주점행사매대2,제과점영업,청원구,율량동
20120416,1,,충청북도 청주시 상당구 금천동 102-10번지 라파빌딩 1층,뚜레쥬르 금천뉴타운점,제과점영업,상당구,금천동
20120508,1,,충청북도 청주시 흥덕구 복대동 909-11번지 (1층),쁘띠앙쥬,제과점영업,흥덕구,복대동
20120523,1,,충청북도 청주시 청원구 오창읍 양청리 820,몽블랑제3점행사매대,제과점영업,청원구,오창읍
20160427,1,,충청북도 청주시 흥덕구 강서동 481번지 101호일부,빵장수 단팥빵 청주점,제과점영업,흥덕구,강서동
20170410,1,,충청북도 청주시 흥덕구 복대동 3380번지 현대백화점충청점 지하1층,슈엣,제과점영업,흥덕구,복대동
20170417,1,,충청북도 청주시 상당구 용담동 396번지 1층 104호,프레티올라,제과점영업,상당구,용담동
20170421,1,,충청북도 청주시 흥덕구 오송읍 오송리 149-3 225필지 3층 맞이방,미스터베이커리 오송역점,제과점영업,흥덕구,오송읍
20170427,1,,"충청북도 청주시 청원구 오창읍 각리 648-5번지 1층,승정빌딩 102호",못난이꽈배기오창점,제과점영업,청원구,오창읍
20070410,1,,충청북도 청주시 서원구 모충동 499-4번지 외 2필지(1층),우리베이커리,제과점영업,서원구,모충동
19850401,1,,충청북도 청주시 상당구 남문로2가 20-2,뚜레쥬르청주남문점,제과점영업,상당구,남문로2가
19860630,1,,충청북도 청주시 서원구 사직동 231-21번지,맥아당제과,제과점영업,서원구,사직동
20090409,1,,충청북도 청주시 상당구 용담동 402번지 (1층),뚜레쥬르금천장자점,제과점영업,상당구,용담동
20090424,1,,충청북도 청주시 서원구 사창동 155-10 (1~2층),파리바게뜨 충대중문점,제과점영업,서원구,사창동
19970807,1,,충청북도 청주시 흥덕구 가경동 1516번지,파리바게뜨(가경2호점),제과점영업,흥덕구,가경동
19980430,1,,충청북도 청주시 흥덕구 가경동 181-1번지,청주가경2호 뚜레쥬르,제과점영업,흥덕구,가경동
